===== FindStandartObjects Started at 11/16/2021 6:10:34 PM
{ ObjectIndex = 12989, Radius = 0.0408391720820946 }
{ ObjectIndex = 13437, Radius = 0.0412342842614721 }
{ ObjectIndex = 13356, Radius = 0.0433201112137014 }
{ ObjectIndex = 13063, Radius = 0.04372054640648 }
{ ObjectIndex = 13510, Radius = 0.043756258698149 }
{ ObjectIndex = 13420, Radius = 0.0440821189071305 }
{ ObjectIndex = 13027, Radius = 0.0442437637302853 }
{ ObjectIndex = 13290, Radius = 0.0452772486866981 }
{ ObjectIndex = 13399, Radius = 0.0453313960397162 }
{ ObjectIndex = 13231, Radius = 0.045941510130909 }
{ ObjectIndex = 13288, Radius = 0.0461011974052997 }
{ ObjectIndex = 13476, Radius = 0.0461102673448102 }
{ ObjectIndex = 13279, Radius = 0.0461907796293224 }
{ ObjectIndex = 12744, Radius = 0.0462023967774176 }
{ ObjectIndex = 13391, Radius = 0.0462972789893026 }
{ ObjectIndex = 13354, Radius = 0.0475348423674984 }
{ ObjectIndex = 13506, Radius = 0.0475869876002549 }
{ ObjectIndex = 13034, Radius = 0.0494159871382366 }
{ ObjectIndex = 13184, Radius = 0.0495348419889778 }
{ ObjectIndex = 12658, Radius = 0.0509359306525228 }
{ ObjectIndex = 13416, Radius = 0.0509937131404068 }
{ ObjectIndex = 13228, Radius = 0.0510716048945735 }
{ ObjectIndex = 13040, Radius = 0.0511159183314507 }
{ ObjectIndex = 13371, Radius = 0.0512309305254611 }
{ ObjectIndex = 13263, Radius = 0.0522421100883605 }
{ ObjectIndex = 13143, Radius = 0.0527437718169387 }
{ ObjectIndex = 13131, Radius = 0.0532046763048291 }
{ ObjectIndex = 13557, Radius = 0.0534280439581074 }
{ ObjectIndex = 13237, Radius = 0.0541868236515106 }
{ ObjectIndex = 13496, Radius = 0.0543736649097567 }
{ ObjectIndex = 13283, Radius = 0.0547721713944453 }
{ ObjectIndex = 13282, Radius = 0.0549478651645847 }
{ ObjectIndex = 13366, Radius = 0.0552377317617536 }
{ ObjectIndex = 12942, Radius = 0.0552801969139017 }
{ ObjectIndex = 13377, Radius = 0.055974276003866 }
{ ObjectIndex = 13400, Radius = 0.056464423780065 }
{ ObjectIndex = 13394, Radius = 0.0569105494116403 }
{ ObjectIndex = 12927, Radius = 0.0569685545619522 }
{ ObjectIndex = 13028, Radius = 0.0571714617817782 }
{ ObjectIndex = 13144, Radius = 0.0579114986212301 }
{ ObjectIndex = 12825, Radius = 0.0586308985379837 }
{ ObjectIndex = 13287, Radius = 0.0594052738994253 }
{ ObjectIndex = 13241, Radius = 0.0599362378604464 }
{ ObjectIndex = 13431, Radius = 0.0601005993879174 }
{ ObjectIndex = 12936, Radius = 0.060339518499922 }
{ ObjectIndex = 13227, Radius = 0.0610724804882863 }
{ ObjectIndex = 13013, Radius = 0.0613556624677311 }
{ ObjectIndex = 12860, Radius = 0.061407605632406 }
{ ObjectIndex = 13177, Radius = 0.062460057555766 }
{ ObjectIndex = 13002, Radius = 0.0627318436482526 }
{ ObjectIndex = 13243, Radius = 0.0630139592891402 }
{ ObjectIndex = 13341, Radius = 0.0630990673788173 }
{ ObjectIndex = 13393, Radius = 0.0640324903203328 }
{ ObjectIndex = 13293, Radius = 0.0641153940258786 }
{ ObjectIndex = 12844, Radius = 0.0652163249366606 }
{ ObjectIndex = 12846, Radius = 0.0652479728377327 }
{ ObjectIndex = 13347, Radius = 0.066315404046062 }
{ ObjectIndex = 13270, Radius = 0.0668406925775631 }
{ ObjectIndex = 13048, Radius = 0.0682976215958324 }
{ ObjectIndex = 12976, Radius = 0.0688040745523456 }
{ ObjectIndex = 12954, Radius = 0.068885548952407 }
{ ObjectIndex = 12867, Radius = 0.0693967910008689 }
{ ObjectIndex = 13262, Radius = 0.0696145848452659 }
{ ObjectIndex = 12701, Radius = 0.0699535817229491 }
{ ObjectIndex = 12907, Radius = 0.0729719314425242 }
{ ObjectIndex = 13211, Radius = 0.0737155057536637 }
{ ObjectIndex = 13222, Radius = 0.0747400629618824 }
{ ObjectIndex = 13064, Radius = 0.0753754826155432 }
{ ObjectIndex = 13198, Radius = 0.0755408980644446 }
{ ObjectIndex = 12984, Radius = 0.0757399367434707 }
{ ObjectIndex = 12601, Radius = 0.0761734647610336 }
{ ObjectIndex = 13383, Radius = 0.076872445481791 }
{ ObjectIndex = 13141, Radius = 0.0768807484725685 }
{ ObjectIndex = 12964, Radius = 0.0775144290483941 }
{ ObjectIndex = 13114, Radius = 0.0777863805141231 }
{ ObjectIndex = 13189, Radius = 0.0780299846269652 }
{ ObjectIndex = 13173, Radius = 0.0780873079318438 }
{ ObjectIndex = 13159, Radius = 0.0785341481813965 }
{ ObjectIndex = 13018, Radius = 0.0786177670468898 }
{ ObjectIndex = 13052, Radius = 0.078737992383668 }
{ ObjectIndex = 12524, Radius = 0.0794157477254208 }
{ ObjectIndex = 12818, Radius = 0.0797125029377879 }
{ ObjectIndex = 12671, Radius = 0.0797873570973556 }
{ ObjectIndex = 13294, Radius = 0.0803067857254074 }
{ ObjectIndex = 12810, Radius = 0.0806253917862088 }
{ ObjectIndex = 13021, Radius = 0.0814322601080115 }
{ ObjectIndex = 12470, Radius = 0.0829145265124142 }
{ ObjectIndex = 12754, Radius = 0.0830375312964945 }
{ ObjectIndex = 12595, Radius = 0.0830407607107266 }
{ ObjectIndex = 12903, Radius = 0.0832631181129778 }
{ ObjectIndex = 12980, Radius = 0.0835987003952218 }
{ ObjectIndex = 12710, Radius = 0.0837898750086606 }
{ ObjectIndex = 12371, Radius = 0.0839641057804942 }
{ ObjectIndex = 12667, Radius = 0.0844770405265119 }
{ ObjectIndex = 12956, Radius = 0.0845724710732607 }
{ ObjectIndex = 13014, Radius = 0.0847824339601428 }
{ ObjectIndex = 12563, Radius = 0.0852029970705945 }
{ ObjectIndex = 13053, Radius = 0.0859408192614387 }
{ ObjectIndex = 12059, Radius = 0.0859747373733941 }
{ ObjectIndex = 12504, Radius = 0.0862964870409996 }
{ ObjectIndex = 12887, Radius = 0.0863001364800813 }
{ ObjectIndex = 12734, Radius = 0.086548662554966 }
{ ObjectIndex = 12784, Radius = 0.0871558595534998 }
{ ObjectIndex = 13122, Radius = 0.0871884039766516 }
{ ObjectIndex = 13145, Radius = 0.0872356680658956 }
{ ObjectIndex = 13098, Radius = 0.0876096384017596 }
{ ObjectIndex = 12361, Radius = 0.0882354642972018 }
{ ObjectIndex = 12679, Radius = 0.0883825044718999 }
{ ObjectIndex = 13457, Radius = 0.0910810153782775 }
{ ObjectIndex = 13275, Radius = 0.091396422626454 }
{ ObjectIndex = 12534, Radius = 0.0914951269679742 }
{ ObjectIndex = 12196, Radius = 0.0920181044146275 }
{ ObjectIndex = 12396, Radius = 0.0928202568531981 }
{ ObjectIndex = 13039, Radius = 0.0931260956189581 }
{ ObjectIndex = 12843, Radius = 0.0932036119481699 }
{ ObjectIndex = 13103, Radius = 0.0943932604144876 }
{ ObjectIndex = 12718, Radius = 0.0948611875810616 }
{ ObjectIndex = 11505, Radius = 0.0949130346219911 }
{ ObjectIndex = 12946, Radius = 0.0951393057804249 }
{ ObjectIndex = 12027, Radius = 0.0967967535798978 }
{ ObjectIndex = 12449, Radius = 0.0977320984370051 }
{ ObjectIndex = 12930, Radius = 0.0979396875189269 }
{ ObjectIndex = 12401, Radius = 0.098846252450438 }
{ ObjectIndex = 12926, Radius = 0.100202811460744 }
{ ObjectIndex = 12131, Radius = 0.100367124143831 }
{ ObjectIndex = 12284, Radius = 0.101660363085429 }
{ ObjectIndex = 12814, Radius = 0.101943528534754 }
{ ObjectIndex = 12452, Radius = 0.102432608404464 }
{ ObjectIndex = 12612, Radius = 0.102914193368036 }
{ ObjectIndex = 12159, Radius = 0.105573068380281 }
{ ObjectIndex = 12716, Radius = 0.105779506932787 }
{ ObjectIndex = 11306, Radius = 0.105868478368186 }
{ ObjectIndex = 12515, Radius = 0.10619530325443 }
{ ObjectIndex = 12285, Radius = 0.106451410502816 }
{ ObjectIndex = 12686, Radius = 0.107020292203719 }
{ ObjectIndex = 12118, Radius = 0.107148674250493 }
{ ObjectIndex = 12384, Radius = 0.107711537592637 }
{ ObjectIndex = 12695, Radius = 0.111515850351743 }
{ ObjectIndex = 10470, Radius = 0.113070543543043 }
{ ObjectIndex = 11813, Radius = 0.114947714713306 }
{ ObjectIndex = 12241, Radius = 0.116059446421914 }
{ ObjectIndex = 12782, Radius = 0.116956341253479 }
{ ObjectIndex = 12120, Radius = 0.117540691188178 }
{ ObjectIndex = 12186, Radius = 0.120158498755556 }
{ ObjectIndex = 13199, Radius = 0.12144953176917 }
{ ObjectIndex = 12276, Radius = 0.121721430122719 }
{ ObjectIndex = 12407, Radius = 0.122186762660792 }
{ ObjectIndex = 12625, Radius = 0.123485911281915 }
{ ObjectIndex = 11537, Radius = 0.124679206634921 }
{ ObjectIndex = 12136, Radius = 0.125113281772204 }
{ ObjectIndex = 12065, Radius = 0.125842457706331 }
{ ObjectIndex = 12265, Radius = 0.127135200628666 }
{ ObjectIndex = 12567, Radius = 0.132227112581503 }
{ ObjectIndex = 12085, Radius = 0.135291779586527 }
{ ObjectIndex = 11885, Radius = 0.137096802011977 }
{ ObjectIndex = 12552, Radius = 0.13873984762412 }
{ ObjectIndex = 12237, Radius = 0.140066519507868 }
{ ObjectIndex = 12721, Radius = 0.142193243423621 }
{ ObjectIndex = 11637, Radius = 0.143108035276471 }
{ ObjectIndex = 12145, Radius = 0.14717978129501 }
{ ObjectIndex = 13234, Radius = 0.152674202100262 }
{ ObjectIndex = 11896, Radius = 0.152970519947264 }
{ ObjectIndex = 13003, Radius = 0.159606778406456 }
{ ObjectIndex = 11428, Radius = 0.1596435058126 }
{ ObjectIndex = 12035, Radius = 0.163157325273232 }
{ ObjectIndex = 11746, Radius = 0.167110398248343 }
{ ObjectIndex = 11531, Radius = 0.169658039344972 }
{ ObjectIndex = 11226, Radius = 0.190947116875107 }
{ ObjectIndex = 11496, Radius = 0.192828117613691 }
{ ObjectIndex = 10689, Radius = 0.195325510796244 }
{ ObjectIndex = 11442, Radius = 0.205478041028157 }
{ ObjectIndex = 11507, Radius = 0.215162266486857 }
{ ObjectIndex = 12399, Radius = 0.24285727766041 }
{ ObjectIndex = 10497, Radius = 0.254673625330227 }
{ ObjectIndex = 10544, Radius = 0.268785426497581 }
{ ObjectIndex = 10771, Radius = 0.28789734243212 }
{ ObjectIndex = 10344, Radius = 0.293807592613905 }
{ ObjectIndex = 10283, Radius = 0.308342232441486 }
{ ObjectIndex = 10640, Radius = 0.325662387447971 }
{ ObjectIndex = 10928, Radius = 0.350325564628866 }
{ ObjectIndex = 10679, Radius = 0.36571824944139 }
{ ObjectIndex = 10182, Radius = 0.389880355639433 }
{ ObjectIndex = 7795, Radius = 0.0385962829104979 }
{ ObjectIndex = 7542, Radius = 0.0413408314460791 }
{ ObjectIndex = 8272, Radius = 0.0421813807508583 }
{ ObjectIndex = 7995, Radius = 0.0424962368466001 }
{ ObjectIndex = 8067, Radius = 0.0438637382203128 }
{ ObjectIndex = 7762, Radius = 0.0458916372626382 }
{ ObjectIndex = 7823, Radius = 0.0463618001049324 }
{ ObjectIndex = 8130, Radius = 0.0477876287256212 }
{ ObjectIndex = 7811, Radius = 0.0479200291269814 }
{ ObjectIndex = 7716, Radius = 0.048344943795306 }
{ ObjectIndex = 8071, Radius = 0.0489198846083706 }
{ ObjectIndex = 7652, Radius = 0.0498661247212478 }
{ ObjectIndex = 7585, Radius = 0.0511159183314507 }
{ ObjectIndex = 8000, Radius = 0.05152775880782 }
{ ObjectIndex = 8411, Radius = 0.0517827879630941 }
{ ObjectIndex = 7813, Radius = 0.051985066063154 }
{ ObjectIndex = 8313, Radius = 0.0521780226248292 }
{ ObjectIndex = 7881, Radius = 0.0523148822708785 }
{ ObjectIndex = 8057, Radius = 0.0530553997996605 }
{ ObjectIndex = 7764, Radius = 0.0542545438175297 }
{ ObjectIndex = 7636, Radius = 0.0552801969139017 }
{ ObjectIndex = 7691, Radius = 0.0563696196611942 }
{ ObjectIndex = 8011, Radius = 0.0577206977757627 }
{ ObjectIndex = 7640, Radius = 0.0584625715697918 }
{ ObjectIndex = 7730, Radius = 0.0589078616453046 }
{ ObjectIndex = 8018, Radius = 0.0593289391601036 }
{ ObjectIndex = 8685, Radius = 0.0599492530895848 }
{ ObjectIndex = 7869, Radius = 0.061122911771627 }
{ ObjectIndex = 7896, Radius = 0.0615202571419455 }
{ ObjectIndex = 8133, Radius = 0.0616274648901659 }
{ ObjectIndex = 8901, Radius = 0.0633141189239306 }
{ ObjectIndex = 8403, Radius = 0.0640730429994955 }
{ ObjectIndex = 7879, Radius = 0.0645487338260483 }
{ ObjectIndex = 8400, Radius = 0.0657847770550574 }
{ ObjectIndex = 7886, Radius = 0.0660267849186696 }
{ ObjectIndex = 7587, Radius = 0.066425649112249 }
{ ObjectIndex = 8248, Radius = 0.0674614729361084 }
{ ObjectIndex = 7741, Radius = 0.0692526060481369 }
{ ObjectIndex = 8173, Radius = 0.0695763853804562 }
{ ObjectIndex = 7808, Radius = 0.0698693516054872 }
{ ObjectIndex = 7668, Radius = 0.0699201195889508 }
{ ObjectIndex = 7875, Radius = 0.0700074256970132 }
{ ObjectIndex = 8142, Radius = 0.0701499951083528 }
{ ObjectIndex = 8438, Radius = 0.0710570286012276 }
{ ObjectIndex = 7857, Radius = 0.0712245635319916 }
{ ObjectIndex = 7630, Radius = 0.071252605441885 }
{ ObjectIndex = 7969, Radius = 0.0714653663243902 }
{ ObjectIndex = 8238, Radius = 0.07313896448015 }
{ ObjectIndex = 7986, Radius = 0.0733949822556398 }
{ ObjectIndex = 7594, Radius = 0.0737470390899272 }
{ ObjectIndex = 9061, Radius = 0.0737693053605589 }
{ ObjectIndex = 8461, Radius = 0.0741077967033139 }
{ ObjectIndex = 9170, Radius = 0.0750275443679755 }
{ ObjectIndex = 8194, Radius = 0.0758233840937768 }
{ ObjectIndex = 8090, Radius = 0.0763390614605409 }
{ ObjectIndex = 7625, Radius = 0.0774870358611419 }
{ ObjectIndex = 8911, Radius = 0.0775155680633496 }
{ ObjectIndex = 7656, Radius = 0.0779175609158648 }
{ ObjectIndex = 7810, Radius = 0.0786177670468898 }
{ ObjectIndex = 8119, Radius = 0.0788005901519553 }
{ ObjectIndex = 8136, Radius = 0.0795141290081645 }
{ ObjectIndex = 8209, Radius = 0.080171400814033 }
{ ObjectIndex = 8338, Radius = 0.0808066439347901 }
{ ObjectIndex = 7829, Radius = 0.0811199206328948 }
{ ObjectIndex = 8116, Radius = 0.0814428035575594 }
{ ObjectIndex = 10006, Radius = 0.0836672384743181 }
{ ObjectIndex = 9075, Radius = 0.0839412391167841 }
{ ObjectIndex = 7781, Radius = 0.0846401157812545 }
{ ObjectIndex = 8492, Radius = 0.0846510951524098 }
{ ObjectIndex = 7970, Radius = 0.0850867489239883 }
{ ObjectIndex = 8249, Radius = 0.085097392273577 }
{ ObjectIndex = 8224, Radius = 0.0853585961704654 }
{ ObjectIndex = 8447, Radius = 0.086369847194742 }
{ ObjectIndex = 7927, Radius = 0.0869910515899089 }
{ ObjectIndex = 8171, Radius = 0.0871722754584545 }
{ ObjectIndex = 8216, Radius = 0.0873674596950077 }
{ ObjectIndex = 9947, Radius = 0.0891868399041244 }
{ ObjectIndex = 9411, Radius = 0.0918406183734726 }
{ ObjectIndex = 8032, Radius = 0.0938807255708438 }
{ ObjectIndex = 8716, Radius = 0.093958907932769 }
{ ObjectIndex = 9005, Radius = 0.0944042334111113 }
{ ObjectIndex = 8383, Radius = 0.0958491262485962 }
{ ObjectIndex = 9324, Radius = 0.095892363366221 }
{ ObjectIndex = 8658, Radius = 0.0965287674336671 }
{ ObjectIndex = 8818, Radius = 0.0965586497452773 }
{ ObjectIndex = 7841, Radius = 0.0968431296375698 }
{ ObjectIndex = 8386, Radius = 0.0980232182840385 }
{ ObjectIndex = 7977, Radius = 0.0983938104976991 }
{ ObjectIndex = 8748, Radius = 0.0988245020018041 }
{ ObjectIndex = 8500, Radius = 0.101212467687329 }
{ ObjectIndex = 8175, Radius = 0.103501741581167 }
{ ObjectIndex = 9704, Radius = 0.104230094147443 }
{ ObjectIndex = 7464, Radius = 0.107331560550522 }
{ ObjectIndex = 9883, Radius = 0.108221696204145 }
{ ObjectIndex = 10026, Radius = 0.108528345026798 }
{ ObjectIndex = 9931, Radius = 0.108923272132112 }
{ ObjectIndex = 7871, Radius = 0.111273966953311 }
{ ObjectIndex = 9848, Radius = 0.111747087768698 }
{ ObjectIndex = 9280, Radius = 0.111826829780692 }
{ ObjectIndex = 7844, Radius = 0.112097336667538 }
{ ObjectIndex = 9033, Radius = 0.112210362604703 }
{ ObjectIndex = 7584, Radius = 0.113164978379131 }
{ ObjectIndex = 8655, Radius = 0.113604972798951 }
{ ObjectIndex = 7982, Radius = 0.115506638617264 }
{ ObjectIndex = 8647, Radius = 0.115668532733172 }
{ ObjectIndex = 8953, Radius = 0.117735795021223 }
{ ObjectIndex = 9845, Radius = 0.117883034650143 }
{ ObjectIndex = 8147, Radius = 0.119796602532684 }
{ ObjectIndex = 10041, Radius = 0.120131943060405 }
{ ObjectIndex = 8991, Radius = 0.120919075769557 }
{ ObjectIndex = 9401, Radius = 0.12406877575119 }
{ ObjectIndex = 9345, Radius = 0.124104651430838 }
{ ObjectIndex = 9758, Radius = 0.124340291621836 }
